"Id","DurableId","ApexPageId","Name","NameSpacePrefix","ApiVersion","Description","IsAvailableInTouch","MasterLabel","IsShowHeader"
"000000000000000AAA","066fJ000000Lndd","066fJ000000Lndd","SiteRegister","","62.0","Default Salesforce Sites User Registration page","false","SiteRegister","false"
"000000000000000AAA","066fJ000000Lnde","066fJ000000Lnde","ChangePassword","","62.0","Default Salesforce Sites Change Password page","false","ChangePassword","false"
"000000000000000AAA","066fJ000000Lndf","066fJ000000Lndf","ForgotPassword","","62.0","Default Salesforce Sites Forgot Password Confirmation page","false","ForgotPassword","false"
"000000000000000AAA","066fJ000000Lndg","066fJ000000Lndg","SiteLogin","","62.0","Default Salesforce Sites Login page","false","SiteLogin","false"
"000000000000000AAA","066fJ000000Lndh","066fJ000000Lndh","ForgotPasswordConfirm","","62.0","Default Salesforce Sites Forgot Password Confirmation page","false","ForgotPasswordConfirm","false"
"000000000000000AAA","066fJ000000Lndi","066fJ000000Lndi","SiteRegisterConfirm","","62.0","Default Salesforce Sites User Registration Confirmation page","false","SiteRegisterConfirm","false"
"000000000000000AAA","066fJ000000Lndj","066fJ000000Lndj","MyProfilePage","","62.0","Default Salesforce Sites My Profile page","false","MyProfilePage","false"
"000000000000000AAA","066fJ000000Lndk","066fJ000000Lndk","StdExceptionTemplate","","62.0","Default Lightning Platform template for standard exception pages","false","StdExceptionTemplate","false"
"000000000000000AAA","066fJ000000Lndl","066fJ000000Lndl","SiteTemplate","","62.0","Default Lightning Platform template for site pages","false","SiteTemplate","false"
"000000000000000AAA","066fJ000000Lndm","066fJ000000Lndm","FileNotFound","","62.0","Default Lightning Platform Page/Data Not Found page","false","FileNotFound","false"
"000000000000000AAA","066fJ000000Lndn","066fJ000000Lndn","BandwidthExceeded","","62.0","Default Lightning Platform Limit Exceeded page","false","BandwidthExceeded","false"
"000000000000000AAA","066fJ000000Lndo","066fJ000000Lndo","Exception","","62.0","Default Lightning Platform page for post-authentication errors","false","Exception","false"
"000000000000000AAA","066fJ000000Lndp","066fJ000000Lndp","InMaintenance","","62.0","Default Lightning Platform In Maintenance page","false","InMaintenance","false"
"000000000000000AAA","066fJ000000Lndq","066fJ000000Lndq","Unauthorized","","62.0","Default Lightning Platform Authorization Required page","false","Unauthorized","false"
"000000000000000AAA","066fJ000000Lndr","066fJ000000Lndr","UnderConstruction","","62.0","Default Lightning Platform Under Construction page","false","UnderConstruction","false"
"000000000000000AAA","066fJ000000Lnds","066fJ000000Lnds","IdeasHome","","62.0","Default Lightning Platform home page for ideas sites","false","IdeasHome","true"
"000000000000000AAA","066fJ000000Lndt","066fJ000000Lndt","AnswersHome","","62.0","Default Lightning Platform home page for Answers sites","false","AnswersHome","true"
"000000000000000AAA","066fJ000000Lndu","066fJ000000Lndu","CommunitiesTemplate","","62.0","Default template for experiences pages","false","CommunitiesTemplate","false"
"000000000000000AAA","066fJ000000Lndv","066fJ000000Lndv","CommunitiesLogin","","62.0","Default experiences login page","false","CommunitiesLogin","true"
"000000000000000AAA","066fJ000000Lndw","066fJ000000Lndw","CommunitiesLanding","","62.0","Default experiences landing page","false","CommunitiesLanding","true"
"000000000000000AAA","066fJ000000Lndx","066fJ000000Lndx","CommunitiesSelfReg","","62.0","Default experiences self registration page","false","CommunitiesSelfReg","true"
"000000000000000AAA","066fJ000000Lndy","066fJ000000Lndy","CommunitiesSelfRegConfirm","","62.0","Default experiences self registration confirmation page","false","CommunitiesSelfRegConfirm","true"
"000000000000000AAA","066fJ000000Lndz","066fJ000000Lndz","MicrobatchSelfReg","","62.0","Process self-registration requests in batches instead of individually","false","MicrobatchSelfReg","true"
"000000000000000AAA","066fJ000000bcfp","066fJ000000bcfp","SuspiciousLoginPDF","","63.0","","false","SuspiciousLoginPDF","true"
